"date","coral","elapsed_time","oxygen"
2022-07-23,"Coral_4",10.5,241.0202
2022-07-23,"Coral_5",10.5,238.6391
2022-07-23,"blank",10.5,194.7279
2022-07-23,"Coral_1",11,213.8891
2022-07-23,"Coral_2",11,240.8783
2022-07-23,"Coral_3",11,221.4168
2022-07-23,"Coral_4",11,241.3034
2022-07-23,"Coral_5",11,239.2336
2022-07-23,"blank",11,194.4581
2022-07-23,"Coral_1",11.5,213.9778
2022-07-23,"Coral_2",11.5,241.2972
2022-07-23,"Coral_3",11.5,221.9114
2022-07-23,"Coral_4",11.5,241.5867
2022-07-23,"Coral_5",11.5,239.9496
2022-07-23,"blank",11.5,194.8044
2022-07-23,"Coral_1",12,214.4476
2022-07-23,"Coral_2",12,241.8247
2022-07-23,"Coral_3",12,222.3383
2022-07-23,"Coral_4",12,241.87
2022-07-23,"Coral_5",12,240.1106
2022-07-23,"blank",12,194.6385
2022-07-23,"Coral_1",12.5,214.5493
2022-07-23,"Coral_2",12.5,242.3544
2022-07-23,"Coral_3",12.5,222.76
2022-07-23,"Coral_4",12.5,242.1533
2022-07-23,"Coral_5",12.5,240.54
2022-07-23,"blank",12.5,194.5095
2022-07-23,"Coral_1",13,214.8602
2022-07-23,"Coral_2",13,242.8427
2022-07-23,"Coral_3",13,223.2895
2022-07-23,"Coral_4",13,242.4365
2022-07-23,"Coral_5",13,241.0076
2022-07-23,"blank",13,194.8037
2022-07-23,"Coral_1",13.5,215.0481
2022-07-23,"Coral_2",13.5,243.3662
2022-07-23,"Coral_3",13.5,223.8086
2022-07-23,"Coral_4",13.5,242.7198
2022-07-23,"Coral_5",13.5,241.4529
2022-07-23,"blank",13.5,194.4784
2022-07-23,"Coral_1",14,215.2651
2022-07-23,"Coral_2",14,243.6999
2022-07-23,"Coral_3",14,224.3241
2022-07-23,"Coral_4",14,243.145
2022-07-23,"Coral_5",14,241.7456
2022-07-23,"blank",14,194.5427
2022-07-23,"Coral_1",14.5,215.5187
2022-07-23,"Coral_2",14.5,244.2006
2022-07-23,"Coral_3",14.5,224.8072
2022-07-23,"Coral_4",14.5,243.6144
2022-07-23,"Coral_5",14.5,242.1869
2022-07-23,"blank",14.5,194.3426
2022-07-23,"Coral_1",15,215.6839
2022-07-23,"Coral_2",15,244.6192
2022-07-23,"Coral_3",15,225.186
2022-07-23,"Coral_4",15,243.661
2022-07-23,"Coral_5",15,242.5505
2022-07-23,"blank",15,194.455
2022-07-23,"Coral_1",15.5,215.999
2022-07-23,"Coral_2",15.5,245.1819
2022-07-23,"Coral_3",15.5,225.5366
2022-07-23,"Coral_4",15.5,244.0748
2022-07-23,"Coral_5",15.5,242.8604
2022-07-23,"blank",15.5,194.7434
2022-07-23,"Coral_1",16,216.2284
2022-07-23,"Coral_2",16,245.7573
2022-07-23,"Coral_3",16,226.138
2022-07-23,"Coral_4",16,244.5757
2022-07-23,"Coral_5",16,243.3417
2022-07-23,"blank",16,194.7106
2022-07-23,"Coral_1",16.5,216.5493
2022-07-23,"Coral_2",16.5,245.8392
2022-07-23,"Coral_3",16.5,226.6372
2022-07-23,"Coral_4",16.5,244.9313
2022-07-23,"Coral_5",16.5,243.817
2022-07-23,"blank",16.5,194.6761
2022-07-23,"Coral_1",17,216.7736
2022-07-23,"Coral_2",17,246.4685
2022-07-23,"Coral_3",17,227.1086
2022-07-23,"Coral_4",17,245.1158
2022-07-23,"Coral_5",17,244.3609
2022-07-23,"blank",17,194.6426
2022-07-23,"Coral_1",17.5,217.0247
2022-07-23,"Coral_2",17.5,246.8027
2022-07-23,"Coral_3",17.5,227.5871
2022-07-23,"Coral_4",17.5,245.6158
2022-07-23,"Coral_5",17.5,244.6087
2022-07-23,"blank",17.5,194.6206
2022-07-23,"Coral_1",18,217.3728
2022-07-23,"Coral_2",18,247.419
2022-07-23,"Coral_3",18,228.125
2022-07-23,"Coral_4",18,245.8698
2022-07-23,"Coral_5",18,245.2154
2022-07-23,"blank",18,194.2607
2022-07-23,"Coral_1",18.5,217.6682
2022-07-23,"Coral_2",18.5,247.8425
2022-07-23,"Coral_3",18.5,228.4161
2022-07-23,"Coral_4",18.5,246.2398
2022-07-23,"Coral_5",18.5,245.2554
